game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0827,2,10:07,HOU,,SAC,,J. Christopher,HOU,Christopher S.FOUL (P1.T2) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
S2223-G0827,2,08:58,HOU,,SAC,,J. Christopher,HOU,Christopher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,2,06:05,HOU,,SAC,,J. Christopher,HOU,SUB: Green FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0827,3,00:08.800000,HOU,96.0,SAC,99.0,J. Christopher,HOU,Christopher Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0827,3,00:08.800000,HOU,97.0,SAC,99.0,J. Christopher,HOU,Christopher Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0827,4,10:20,HOU,,SAC,,J. Christopher,HOU,Christopher STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0827,4,10:15,HOU,104.0,SAC,101.0,J. Christopher,HOU,Christopher 4' Running Layup (4 PTS),Made Shot,Running Layup Shot,32,16,4,1,2.0,2.0,h
S2223-G0827,4,06:52,HOU,,SAC,,J. Christopher,HOU,SUB: Smith Jr. FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0722,2,08:33,HOU,,WAS,,J. Christopher,HOU,Christopher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0722,2,08:30,HOU,41.0,WAS,30.0,J. Christopher,HOU,Christopher Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0722,2,08:30,HOU,42.0,WAS,30.0,J. Christopher,HOU,Christopher Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0722,2,07:27,HOU,46.0,WAS,32.0,J. Christopher,HOU,Christopher 2' Cutting Dunk Shot (4 PTS) (Sengun 5 AST),Made Shot,Cutting Dunk Shot,1,15,2,1,2.0,2.0,h
S2223-G0722,2,05:48,HOU,,WAS,,J. Christopher,HOU,SUB: Martin Jr. FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0722,4,09:28,HOU,83.0,WAS,79.0,J. Christopher,HOU,Christopher 12' Pullup Jump Shot (6 PTS) (Eason 1 AST),Made Shot,Pullup Jump shot,-75,99,12,1,2.0,2.0,h
S2223-G0722,4,06:56,HOU,,WAS,,J. Christopher,HOU,SUB: Smith Jr. FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0671,1,03:09,HOU,25.0,CHA,27.0,J. Christopher,HOU,Christopher 5' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,48,21,5,1,2.0,2.0,h
S2223-G0671,2,11:15,HOU,33.0,CHA,38.0,J. Christopher,HOU,Christopher 3' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,25,7,3,1,2.0,2.0,h
S2223-G0671,2,10:31,HOU,,CHA,,J. Christopher,HOU,Christopher BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0671,2,10:14,HOU,,CHA,,J. Christopher,HOU,MISS Christopher 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,5,54,5,1,2.0,0.0,h
S2223-G0671,2,10:02,HOU,,CHA,,J. Christopher,HOU,SUB: Mathews FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0671,3,03:04,HOU,,CHA,,J. Christopher,HOU,Christopher Bad Pass Turnover (P1.T16),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0671,3,02:51,HOU,,CHA,,J. Christopher,HOU,MISS Christopher 27' 3PT Jump Shot,Missed Shot,Jump Shot,-85,255,27,1,3.0,0.0,h
S2223-G0671,3,01:05,HOU,,CHA,,J. Christopher,HOU,Christopher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0671,3,00:50.100000,HOU,82.0,CHA,83.0,J. Christopher,HOU,Christopher 11' Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,39,108,11,1,2.0,2.0,h
S2223-G0671,4,11:38,HOU,86.0,CHA,83.0,J. Christopher,HOU,Christopher 12' Pullup Jump Shot (8 PTS),Made Shot,Pullup Jump shot,-10,120,12,1,2.0,2.0,h
S2223-G0671,4,10:56,HOU,,CHA,,J. Christopher,HOU,Christopher Lost Ball Turnover (P2.T17),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0671,4,10:36,HOU,,CHA,,J. Christopher,HOU,SUB: Mathews FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0981,2,10:10,HOU,,BKN,,J. Christopher,HOU,MISS Christopher 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-1,121,12,1,2.0,0.0,h
S2223-G0981,2,08:28,HOU,,BKN,,J. Christopher,HOU,Christopher Out of Bounds Lost Ball Turnover (P1.T8),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2223-G0981,2,07:43,HOU,37.0,BKN,43.0,J. Christopher,HOU,Christopher 3' Cutting Layup Shot (2 PTS) (Porter Jr. 2 AST),Made Shot,Cutting Layup Shot,-16,25,3,1,2.0,2.0,h
S2223-G0981,2,04:34,HOU,,BKN,,J. Christopher,HOU,SUB: Porter Jr. FOR Christopher,Substitution,,0,0,0,0,,,h
S2223-G0981,4,06:29,HOU,,BKN,,J. Christopher,HOU,MISS Christopher 25' 3PT Jump Shot,Missed Shot,Jump Shot,-216,129,25,1,3.0,0.0,h
S2223-G0981,4,05:12,HOU,,BKN,,J. Christopher,HOU,Christopher S.FOUL (P1.T4) (B.Schwab),Foul,Shooting,0,0,0,0,,,h
S2223-G0981,4,02:42,HOU,,BKN,,J. Christopher,HOU,MISS Christopher 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,53,93,11,1,2.0,0.0,h
S2223-G0981,4,01:09,HOU,,BKN,,J. Christopher,HOU,Christopher Out of Bounds - Bad Pass Turnover Turnover (P2.T18),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0743,1,05:58,DET,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0743,1,05:56,DET,20.0,HOU,15.0,J. Christopher,HOU,Christopher 25' 3PT Jump Shot (3 PTS) (Tate 1 AST),Made Shot,Jump Shot,-48,243,25,1,3.0,3.0,v
S2223-G0743,1,03:28,DET,28.0,HOU,20.0,J. Christopher,HOU,Christopher 8' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,16,78,8,1,2.0,2.0,v
S2223-G0743,1,02:56,DET,,HOU,,J. Christopher,HOU,Christopher Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0743,1,02:49,DET,,HOU,,J. Christopher,HOU,SUB: Gordon FOR Christopher,Substitution,,0,0,0,0,,,v
S2223-G0743,2,06:56,DET,45.0,HOU,39.0,J. Christopher,HOU,Christopher 5' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,4,48,5,1,2.0,2.0,v
S2223-G0743,2,06:07,DET,45.0,HOU,43.0,J. Christopher,HOU,Christopher 2' Running Dunk (9 PTS) (Eason 1 AST),Made Shot,Running Dunk Shot,1,20,2,1,2.0,2.0,v
S2223-G0743,2,03:31,DET,,HOU,,J. Christopher,HOU,MISS Christopher 27' 3PT Jump Shot,Missed Shot,Jump Shot,42,269,27,1,3.0,0.0,v
S2223-G0743,3,04:24,DET,,HOU,,J. Christopher,HOU,Christopher Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0743,3,04:05,DET,,HOU,,J. Christopher,HOU,MISS Christopher Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0743,3,04:05,DET,71.0,HOU,79.0,J. Christopher,HOU,Christopher Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0743,3,03:36,DET,,HOU,,J. Christopher,HOU,MISS Christopher Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0743,3,03:36,DET,74.0,HOU,80.0,J. Christopher,HOU,Christopher Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0743,3,03:06,DET,,HOU,,J. Christopher,HOU,MISS Christopher 4' Layup,Missed Shot,Layup Shot,31,32,4,1,2.0,0.0,v
S2223-G0743,3,02:35,DET,,HOU,,J. Christopher,HOU,MISS Christopher 30' 3PT Jump Shot,Missed Shot,Jump Shot,67,296,30,1,3.0,0.0,v
S2223-G0743,3,00:00,DET,,HOU,,J. Christopher,HOU,MISS Christopher 8' Floating Jump Shot,Missed Shot,Floating Jump shot,77,20,8,1,2.0,0.0,v
S2223-G0305,4,05:04,DEN,118.0,HOU,101.0,J. Christopher,HOU,Christopher 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,20,8,2,1,2.0,2.0,v
S2223-G0305,4,04:27,DEN,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0305,4,03:44,DEN,,HOU,,J. Christopher,HOU,MISS Christopher 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-99,159,19,1,2.0,0.0,v
S2223-G0305,4,03:04,DEN,,HOU,,J. Christopher,HOU,Christopher Out of Bounds - Bad Pass Turnover Turnover (P1.T17),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G0305,4,01:10,DEN,127.0,HOU,109.0,J. Christopher,HOU,Christopher Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0305,4,01:10,DEN,127.0,HOU,110.0,J. Christopher,HOU,Christopher Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0094,2,09:38,PHX,,HOU,,J. Christopher,HOU,MISS Christopher 25' 3PT Jump Shot,Missed Shot,Jump Shot,152,201,25,1,3.0,0.0,v
S2223-G0094,2,09:16,PHX,,HOU,,J. Christopher,HOU,MISS Christopher 2' Running Layup,Missed Shot,Running Layup Shot,11,22,2,1,2.0,0.0,v
S2223-G0094,2,08:02,PHX,,HOU,,J. Christopher,HOU,Christopher S.FOUL (P1.T4) (B.Kennedy),Foul,Shooting,0,0,0,0,,,v
S2223-G0094,2,06:21,PHX,42.0,HOU,39.0,J. Christopher,HOU,Christopher 25' 3PT Jump Shot (3 PTS) (Tate 2 AST),Made Shot,Jump Shot,-217,114,25,1,3.0,3.0,v
S2223-G0094,2,05:27,PHX,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0094,2,04:57,PHX,47.0,HOU,42.0,J. Christopher,HOU,Christopher 3' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-25,8,3,1,2.0,2.0,v
S2223-G0094,2,04:01,PHX,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0094,2,04:00,PHX,,HOU,,J. Christopher,HOU,MISS Christopher 1' Tip Layup Shot,Missed Shot,Tip Layup Shot,-7,-2,1,1,2.0,0.0,v
S2223-G0094,2,03:59,PHX,,HOU,,J. Christopher,HOU,SUB: Porter Jr. FOR Christopher,Substitution,,0,0,0,0,,,v
S2223-G0094,4,11:47,PHX,,HOU,,J. Christopher,HOU,Christopher Lost Ball Turnover (P1.T13),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0094,4,10:53,PHX,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0094,4,10:21,PHX,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0094,4,10:06,PHX,,HOU,,J. Christopher,HOU,Christopher Lost Ball Turnover (P2.T14),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0094,4,09:18,PHX,,HOU,,J. Christopher,HOU,Christopher REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
