game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0333,1,04:38,SAS,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-7,92,9,1,2.0,0.0,v
S2223-G0333,1,04:25,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,1,02:39,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,1,02:39,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0333,2,11:02,SAS,,NOP,,L. Nance Jr.,NOP,SUB: Valanciunas FOR Nance Jr.,Substitution,,0,0,0,0,,,v
S2223-G0333,2,02:55,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. S.FOUL (P1.PN) (P.Ransom),Foul,Shooting,0,0,0,0,,,v
S2223-G0333,2,01:47,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. S.FOUL (P2.PN) (A.Moyer-Gleich),Foul,Shooting,0,0,0,0,,,v
S2223-G0333,3,03:42,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,3,02:21,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0333,3,01:02,SAS,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. 3PT Jump Shot,Missed Shot,Jump Shot,230,27,0,1,3.0,0.0,v
S2223-G0333,3,00:34.400000,SAS,71.0,NOP,77.0,L. Nance Jr.,NOP,Nance Jr. 1' Cutting Dunk Shot (2 PTS) (Alvarado 2 AST),Made Shot,Cutting Dunk Shot,-2,8,1,1,2.0,2.0,v
S2223-G0333,4,07:11,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,4,06:46,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,4,06:45,SAS,83.0,NOP,94.0,L. Nance Jr.,NOP,Nance Jr. Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2223-G0333,4,06:45,SAS,83.0,NOP,95.0,L. Nance Jr.,NOP,Nance Jr. Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G0333,4,02:43,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,4,02:07,SAS,92.0,NOP,113.0,L. Nance Jr.,NOP,Nance Jr. Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0333,4,02:07,SAS,92.0,NOP,114.0,L. Nance Jr.,NOP,Nance Jr. Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0333,4,00:29.900000,SAS,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2223-G0344,1,02:19,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0344,1,02:10,NOP,,DEN,,L. Nance Jr.,NOP,MISS Nance Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,180,207,27,1,3.0,0.0,h
S2223-G0344,1,02:03,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. Traveling Turnover (P1.T4),Turnover,Traveling,0,0,0,0,,,h
S2223-G0344,1,00:46.800000,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. S.FOUL (P1.T4) (M.Boland),Foul,Shooting,0,0,0,0,,,h
S2223-G0344,2,11:48,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0344,2,09:38,NOP,38.0,DEN,36.0,L. Nance Jr.,NOP,Nance Jr. 2' Cutting Layup Shot (2 PTS) (Marshall 1 AST),Made Shot,Cutting Layup Shot,-16,16,2,1,2.0,2.0,h
S2223-G0344,2,09:38,NOP,,DEN,,L. Nance Jr.,NOP,MISS Nance Jr. Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2223-G0344,2,06:20,NOP,,DEN,,L. Nance Jr.,NOP,SUB: Murphy III FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2223-G0344,3,02:07,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. P.FOUL (P2.T3) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2223-G0344,3,00:46,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. L.B.FOUL (P3.T4) (M.Boland),Foul,Loose Ball,0,0,0,0,,,h
S2223-G0344,3,00:09.300000,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. S.FOUL (P4.PN) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2223-G0344,4,10:51,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0344,4,08:22,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0344,4,06:04,NOP,,DEN,,L. Nance Jr.,NOP,Nance Jr. BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0344,4,05:46,NOP,,DEN,,L. Nance Jr.,NOP,SUB: Williamson FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2223-G0344,4,02:04,NOP,118.0,DEN,102.0,L. Nance Jr.,NOP,Nance Jr. 2' Finger Roll Layup (4 PTS) (Murphy III 2 AST),Made Shot,Finger Roll Layup Shot,6,19,2,1,2.0,2.0,h
S2223-G0344,4,00:58.600000,NOP,,DEN,,L. Nance Jr.,NOP,SUB: Temple FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2223-G0128,1,02:26,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,1,01:26,NOP,,,,L. Nance Jr.,NOP,Nance Jr. P.FOUL (P1.PN) (E.Lewis),Foul,Personal,0,0,0,0,,,h
S2223-G0128,2,11:29,NOP,28.0,,27.0,L. Nance Jr.,NOP,Nance Jr. 1' Cutting Dunk Shot (2 PTS) (McCollum 3 AST),Made Shot,Cutting Dunk Shot,-5,10,1,1,2.0,2.0,h
S2223-G0128,2,11:00,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,2,09:44,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,2,07:54,NOP,40.0,,32.0,L. Nance Jr.,NOP,Nance Jr. Cutting Dunk Shot (4 PTS) (Graham 1 AST),Made Shot,Cutting Dunk Shot,-4,0,0,1,2.0,2.0,h
S2223-G0128,2,06:50,NOP,,,,L. Nance Jr.,NOP,SUB: Ingram FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2223-G0128,2,00:33.100000,NOP,59.0,,54.0,L. Nance Jr.,NOP,Nance Jr. 4' Driving Hook Shot (6 PTS),Made Shot,Driving Hook Shot,17,37,4,1,2.0,2.0,h
S2223-G0128,2,00:02.500000,NOP,61.0,,54.0,L. Nance Jr.,NOP,Nance Jr. 1' Cutting Dunk Shot (8 PTS) (McCollum 4 AST),Made Shot,Cutting Dunk Shot,1,7,1,1,2.0,2.0,h
S2223-G0128,4,11:07,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,4,11:07,NOP,90.0,,79.0,L. Nance Jr.,NOP,Nance Jr. Putback Dunk (10 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G0128,4,10:55,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,4,09:10,NOP,,,,L. Nance Jr.,NOP,MISS Nance Jr. 13' Floating Jump Shot,Missed Shot,Floating Jump shot,-1,130,13,1,2.0,0.0,h
S2223-G0128,4,08:13,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:3 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,4,08:12,NOP,95.0,,89.0,L. Nance Jr.,NOP,Nance Jr. 5' Turnaround Hook Shot (12 PTS),Made Shot,Turnaround Hook Shot,-16,50,5,1,2.0,2.0,h
S2223-G0128,4,06:35,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:4 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0128,4,06:35,NOP,97.0,,93.0,L. Nance Jr.,NOP,Nance Jr. Putback Dunk (14 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G0128,4,05:15,NOP,102.0,,96.0,L. Nance Jr.,NOP,Nance Jr. 1' Cutting Dunk Shot (16 PTS) (Graham 4 AST),Made Shot,Cutting Dunk Shot,-7,5,1,1,2.0,2.0,h
S2223-G0128,4,03:42,NOP,,,,L. Nance Jr.,NOP,MISS Nance Jr. 4' Floating Jump Shot,Missed Shot,Floating Jump shot,22,29,4,1,2.0,0.0,h
S2223-G0128,4,03:15,NOP,106.0,,101.0,L. Nance Jr.,NOP,Nance Jr. Cutting Dunk Shot (18 PTS) (Ingram 5 AST),Made Shot,Cutting Dunk Shot,2,-2,0,1,2.0,2.0,h
S2223-G0128,4,02:38,NOP,108.0,,101.0,L. Nance Jr.,NOP,Nance Jr. 2' Layup (20 PTS),Made Shot,Layup Shot,-17,-11,2,1,2.0,2.0,h
S2223-G0128,4,01:44,NOP,,,,L. Nance Jr.,NOP,Nance Jr. L.B.FOUL (P2.T4) (E.Lewis),Foul,Loose Ball,0,0,0,0,,,h
S2223-G0128,4,01:20,NOP,,,,L. Nance Jr.,NOP,Nance Jr. OFF.Foul (P3) (S.Mehta),Foul,Offensive,0,0,0,0,,,h
S2223-G0128,4,01:20,NOP,,,,L. Nance Jr.,NOP,Nance Jr. Offensive Foul Turnover (P1.T15),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0128,4,00:09.600000,NOP,,,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:4 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1017,1,03:59,NOP,,POR,,L. Nance Jr.,NOP,Nance Jr. P.FOUL (P1.T4) (T.Ford),Foul,Personal,0,0,0,0,,,h
S2223-G1017,1,03:09,NOP,,POR,,L. Nance Jr.,NOP,Nance Jr. S.FOUL (P2.PN) (S.Corbin),Foul,Shooting,0,0,0,0,,,h
S2223-G1017,1,02:11,NOP,,POR,,L. Nance Jr.,NOP,Nance Jr. P.FOUL (P3.PN) (J.Orr),Foul,Personal,0,0,0,0,,,h
S2223-G1017,1,02:11,NOP,,POR,,L. Nance Jr.,NOP,SUB: Hayes FOR Nance Jr.,Substitution,,0,0,0,0,,,h
S2223-G1017,3,04:59,NOP,,POR,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1017,3,03:31,NOP,96.0,POR,69.0,L. Nance Jr.,NOP,Nance Jr. 6' Layup (2 PTS) (Daniels 2 AST),Made Shot,Layup Shot,-16,53,6,1,2.0,2.0,h
S2223-G1017,3,03:17,NOP,,POR,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0755,1,01:15,MIL,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. 2' Reverse Layup,Missed Shot,Reverse Layup Shot,-9,13,2,1,2.0,0.0,v
S2223-G0755,1,00:57,MIL,35.0,NOP,17.0,L. Nance Jr.,NOP,Nance Jr. Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0755,1,00:57,MIL,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G0755,2,11:31,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,08:19,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,07:59,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,07:40,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,06:46,MIL,,NOP,,L. Nance Jr.,NOP,SUB: Murphy III FOR Nance Jr.,Substitution,,0,0,0,0,,,v
S2223-G0755,2,03:10,MIL,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. 10' Step Back Bank Jump Shot,Missed Shot,Step Back Bank Jump Shot,92,45,10,1,2.0,0.0,v
S2223-G0755,2,02:20,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,02:12,MIL,,NOP,,L. Nance Jr.,NOP,MISS Nance Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,214,148,26,1,3.0,0.0,v
S2223-G0755,2,01:56,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. P.FOUL (P1.T4) (B.Barnaky),Foul,Personal,0,0,0,0,,,v
S2223-G0755,2,01:46,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2223-G0755,2,01:37,MIL,55.0,NOP,44.0,L. Nance Jr.,NOP,Nance Jr. 6' Driving Floating Bank Jump Shot (3 PTS) (Murphy III 1 AST),Made Shot,Driving Floating Bank Jump Shot,50,24,6,1,2.0,2.0,v
S2223-G0755,2,01:03,MIL,,NOP,,L. Nance Jr.,NOP,Nance Jr. REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,v
