game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0893,1,12:00,LAL,,GSW,,A. Davis,LAL,Jump Ball Davis vs. Kuminga: Tip to Russell,Jump Ball,,0,0,0,0,,,h
S2223-G0893,1,09:53,LAL,6.0,GSW,5.0,A. Davis,LAL,Davis Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,1,09:53,LAL,7.0,GSW,5.0,A. Davis,LAL,Davis Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,1,09:32,LAL,,GSW,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0893,1,08:51,LAL,,GSW,,A. Davis,LAL,Davis Out of Bounds Lost Ball Turnover (P1.T2),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2223-G0893,1,07:46,LAL,12.0,GSW,13.0,A. Davis,LAL,Davis 3' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,-22,22,3,1,2.0,2.0,h
S2223-G0893,1,07:05,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,1,05:00,LAL,,GSW,,A. Davis,LAL,Davis BLOCK (2 BLK),,,0,0,0,0,,,h
S2223-G0893,1,04:46,LAL,,GSW,,A. Davis,LAL,MISS Davis 6' Hook Shot,Missed Shot,Hook Shot,-13,62,6,1,2.0,0.0,h
S2223-G0893,1,03:53,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,1,03:12,LAL,,GSW,,A. Davis,LAL,SUB: Bamba FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0893,2,07:35,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,07:28,LAL,,GSW,,A. Davis,LAL,MISS Davis Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0893,2,07:28,LAL,42.0,GSW,33.0,A. Davis,LAL,Davis Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,2,07:15,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,06:56,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,06:15,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,05:46,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,05:45,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:3 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,05:39,LAL,44.0,GSW,36.0,A. Davis,LAL,Davis Tip Dunk Shot (7 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G0893,2,05:00,LAL,48.0,GSW,38.0,A. Davis,LAL,Davis Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,2,05:00,LAL,49.0,GSW,38.0,A. Davis,LAL,Davis Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,2,03:28,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:3 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,2,03:05,LAL,54.0,GSW,42.0,A. Davis,LAL,Davis Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0893,2,03:05,LAL,,GSW,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0893,3,11:02,LAL,,GSW,,A. Davis,LAL,MISS Davis 7' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-2,67,7,1,2.0,0.0,h
S2223-G0893,3,10:07,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,3,09:40,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,3,07:47,LAL,74.0,GSW,63.0,A. Davis,LAL,Davis 2' Alley Oop Layup (12 PTS) (Schroder 6 AST),Made Shot,Alley Oop Layup shot,1,21,2,1,2.0,2.0,h
S2223-G0893,3,06:22,LAL,,GSW,,A. Davis,LAL,Davis S.FOUL (P1.T4) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2223-G0893,3,06:19,LAL,,GSW,,A. Davis,LAL,Davis REBOUND (Off:3 Def:9),Rebound,Unknown,0,0,0,0,,,h
S2223-G0893,3,04:14,LAL,,GSW,,A. Davis,LAL,Jump Ball Davis vs. Looney: Tip to Lamb,Jump Ball,,0,0,0,0,,,h
S2223-G0893,3,03:36,LAL,,GSW,,A. Davis,LAL,Davis S.FOUL (P2.PN) (C.Blair),Foul,Shooting,0,0,0,0,,,h
S2223-G0893,3,03:36,LAL,,GSW,,A. Davis,LAL,SUB: Bamba FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0016,1,12:00,LAL,,LAC,,A. Davis,LAL,Jump Ball Davis vs. Zubac: Tip to Morris Sr.,Jump Ball,,0,0,0,0,,,h
S2223-G0016,1,11:45,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,1,08:19,LAL,,LAC,,A. Davis,LAL,MISS Davis 22' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-82,206,22,1,2.0,0.0,h
S2223-G0016,1,07:32,LAL,,LAC,,A. Davis,LAL,MISS Davis 8' Floating Jump Shot,Missed Shot,Floating Jump shot,0,76,8,1,2.0,0.0,h
S2223-G0016,1,06:58,LAL,,LAC,,A. Davis,LAL,Davis STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0016,1,06:49,LAL,12.0,LAC,12.0,A. Davis,LAL,Davis 2' Alley Oop Dunk (2 PTS) (Westbrook 2 AST),Made Shot,Alley Oop Dunk Shot,5,18,2,1,2.0,2.0,h
S2223-G0016,1,05:43,LAL,14.0,LAC,16.0,A. Davis,LAL,Davis 3' Cutting Dunk Shot (4 PTS) (Walker IV 2 AST),Made Shot,Cutting Dunk Shot,-4,26,3,1,2.0,2.0,h
S2223-G0016,1,05:11,LAL,15.0,LAC,18.0,A. Davis,LAL,Davis Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0016,1,05:11,LAL,,LAC,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0016,1,04:48,LAL,17.0,LAC,21.0,A. Davis,LAL,Davis 2' Cutting Layup Shot (7 PTS) (Toscano-Anderson 1 AST),Made Shot,Cutting Layup Shot,-4,21,2,1,2.0,2.0,h
S2223-G0016,1,04:48,LAL,18.0,LAC,21.0,A. Davis,LAL,Davis Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0016,1,03:49,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,1,03:21,LAL,,LAC,,A. Davis,LAL,SUB: James FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0016,2,06:07,LAL,,LAC,,A. Davis,LAL,MISS Davis 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-170,38,17,1,2.0,0.0,h
S2223-G0016,2,05:18,LAL,39.0,LAC,52.0,A. Davis,LAL,Davis 27' 3PT Jump Shot (11 PTS) (Westbrook 3 AST),Made Shot,Jump Shot,55,269,27,1,3.0,3.0,h
S2223-G0016,2,04:46,LAL,,LAC,,A. Davis,LAL,Davis STEAL (2 STL),,,0,0,0,0,,,h
S2223-G0016,2,04:45,LAL,,LAC,,A. Davis,LAL,Davis Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0016,2,03:43,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,2,03:43,LAL,46.0,LAC,52.0,A. Davis,LAL,Davis 1' Putback Layup (13 PTS),Made Shot,Putback Layup Shot,0,12,1,1,2.0,2.0,h
S2223-G0016,2,02:38,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,2,02:37,LAL,,LAC,,A. Davis,LAL,MISS Davis Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0016,2,01:10,LAL,54.0,LAC,54.0,A. Davis,LAL,Davis 3' Running Dunk (15 PTS) (James 3 AST),Made Shot,Running Dunk Shot,-4,28,3,1,2.0,2.0,h
S2223-G0016,3,11:44,LAL,,LAC,,A. Davis,LAL,MISS Davis 24' 3PT Jump Shot,Missed Shot,Jump Shot,234,47,24,1,3.0,0.0,h
S2223-G0016,3,10:27,LAL,58.0,LAC,59.0,A. Davis,LAL,Davis 3' Cutting Layup Shot (17 PTS) (James 4 AST),Made Shot,Cutting Layup Shot,2,27,3,1,2.0,2.0,h
S2223-G0016,3,09:18,LAL,,LAC,,A. Davis,LAL,Davis S.FOUL (P1.T4) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2223-G0016,3,08:59,LAL,,LAC,,A. Davis,LAL,Davis Lost Ball Turnover (P2.T5),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0016,3,08:21,LAL,63.0,LAC,61.0,A. Davis,LAL,Davis 27' 3PT Jump Shot (20 PTS) (James 5 AST),Made Shot,Jump Shot,55,262,27,1,3.0,3.0,h
S2223-G0016,3,06:49,LAL,,LAC,,A. Davis,LAL,SUB: Jones FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0016,3,03:06,LAL,69.0,LAC,82.0,A. Davis,LAL,Davis Free Throw 1 of 2 (21 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0016,3,03:06,LAL,,LAC,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0016,3,02:39,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,3,01:00,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,3,00:36.800000,LAL,76.0,LAC,85.0,A. Davis,LAL,Davis Free Throw 1 of 2 (22 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0016,3,00:36.800000,LAL,77.0,LAC,85.0,A. Davis,LAL,Davis Free Throw 2 of 2 (23 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0016,4,06:24,LAL,91.0,LAC,92.0,A. Davis,LAL,Davis 8' Hook Shot (25 PTS) (Walker IV 3 AST),Made Shot,Hook Shot,23,81,8,1,2.0,2.0,h
S2223-G0016,4,06:06,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0016,4,04:38,LAL,,LAC,,A. Davis,LAL,MISS Davis 21' Jump Shot,Missed Shot,Jump Shot,150,153,21,1,2.0,0.0,h
S2223-G0016,4,03:20,LAL,,LAC,,A. Davis,LAL,Davis L.B.FOUL (P2.T4) (L.Wood),Foul,Loose Ball,0,0,0,0,,,h
S2223-G0016,4,01:37,LAL,,LAC,,A. Davis,LAL,MISS Davis 24' 3PT Jump Shot,Missed Shot,Jump Shot,206,132,24,1,3.0,0.0,h
S2223-G0016,4,00:07.200000,LAL,,LAC,,A. Davis,LAL,Davis REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,1,12:00,LAL,,MIN,,A. Davis,LAL,Jump Ball Davis vs. Gobert: Tip to Schroder,Jump Ball,,0,0,0,0,,,h
S2223-G0955,1,11:00,LAL,,MIN,,A. Davis,LAL,Davis Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0955,1,10:47,LAL,,MIN,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0955,1,10:07,LAL,7.0,MIN,2.0,A. Davis,LAL,Davis 7' Pullup Jump Shot (2 PTS) (Schroder 2 AST),Made Shot,Pullup Jump shot,1,71,7,1,2.0,2.0,h
S2223-G0955,1,09:33,LAL,,MIN,,A. Davis,LAL,MISS Davis 3' Alley Oop Dunk,Missed Shot,Alley Oop Dunk Shot,-31,16,3,1,2.0,0.0,h
S2223-G0955,1,09:07,LAL,,MIN,,A. Davis,LAL,MISS Davis 5' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,15,52,5,1,2.0,0.0,h
S2223-G0955,1,08:59,LAL,9.0,MIN,7.0,A. Davis,LAL,Davis 1' Running Dunk (4 PTS) (Beasley 1 AST),Made Shot,Running Dunk Shot,2,13,1,1,2.0,2.0,h
S2223-G0955,1,08:59,LAL,10.0,MIN,7.0,A. Davis,LAL,Davis Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0955,1,08:27,LAL,,MIN,,A. Davis,LAL,Davis OFF.Foul (P1) (N.Green),Foul,Offensive,0,0,0,0,,,h
S2223-G0955,1,08:27,LAL,,MIN,,A. Davis,LAL,Davis Offensive Foul Turnover (P2.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0955,1,07:02,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,1,06:58,LAL,18.0,MIN,12.0,A. Davis,LAL,Davis 2' Running Dunk (7 PTS) (Schroder 4 AST),Made Shot,Running Dunk Shot,6,14,2,1,2.0,2.0,h
S2223-G0955,1,05:54,LAL,20.0,MIN,14.0,A. Davis,LAL,Davis 3' Cutting Layup Shot (9 PTS) (Schroder 5 AST),Made Shot,Cutting Layup Shot,25,22,3,1,2.0,2.0,h
S2223-G0955,1,05:54,LAL,21.0,MIN,14.0,A. Davis,LAL,Davis Free Throw 1 of 1 (10 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0955,1,05:04,LAL,22.0,MIN,17.0,A. Davis,LAL,Davis Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,1,05:04,LAL,23.0,MIN,17.0,A. Davis,LAL,Davis Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,1,03:55,LAL,27.0,MIN,21.0,A. Davis,LAL,Davis 19' Jump Shot (14 PTS),Made Shot,Jump Shot,137,136,19,1,2.0,2.0,h
S2223-G0955,1,03:27,LAL,29.0,MIN,24.0,A. Davis,LAL,Davis 3' Layup (16 PTS),Made Shot,Layup Shot,-4,26,3,1,2.0,2.0,h
S2223-G0955,1,02:45,LAL,,MIN,,A. Davis,LAL,MISS Davis 12' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-116,24,12,1,2.0,0.0,h
S2223-G0955,1,02:41,LAL,,MIN,,A. Davis,LAL,SUB: Bamba FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0955,2,07:44,LAL,42.0,MIN,40.0,A. Davis,LAL,Davis 13' Driving Floating Jump Shot (18 PTS) (Schroder 6 AST),Made Shot,Driving Floating Jump Shot,-11,131,13,1,2.0,2.0,h
S2223-G0955,2,07:31,LAL,,MIN,,A. Davis,LAL,Davis S.FOUL (P2.T3) (N.Green),Foul,Shooting,0,0,0,0,,,h
S2223-G0955,2,07:19,LAL,,MIN,,A. Davis,LAL,MISS Davis 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-105,134,17,1,2.0,0.0,h
S2223-G0955,2,06:57,LAL,,MIN,,A. Davis,LAL,MISS Davis 9' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,9,94,9,1,2.0,0.0,h
S2223-G0955,2,05:29,LAL,,MIN,,A. Davis,LAL,Davis Bad Pass Turnover (P3.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0955,2,05:11,LAL,,MIN,,A. Davis,LAL,Davis OFF.Foul (P3) (P.Fraher),Foul,Offensive,0,0,0,0,,,h
S2223-G0955,2,05:11,LAL,,MIN,,A. Davis,LAL,Davis Offensive Foul Turnover (P4.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0955,2,04:44,LAL,,MIN,,A. Davis,LAL,MISS Davis 28' 3PT Jump Shot,Missed Shot,Jump Shot,49,276,28,1,3.0,0.0,h
S2223-G0955,2,04:36,LAL,,MIN,,A. Davis,LAL,SUB: Bamba FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0955,3,11:19,LAL,,MIN,,A. Davis,LAL,Davis Lost Ball Turnover (P5.T8),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0955,3,10:25,LAL,,MIN,,A. Davis,LAL,MISS Davis 5' Hook Shot,Missed Shot,Hook Shot,-2,53,5,1,2.0,0.0,h
S2223-G0955,3,09:46,LAL,,MIN,,A. Davis,LAL,MISS Davis 21' Jump Shot,Missed Shot,Jump Shot,81,190,21,1,2.0,0.0,h
S2223-G0955,3,08:36,LAL,,MIN,,A. Davis,LAL,MISS Davis 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,112,137,18,1,2.0,0.0,h
S2223-G0955,3,07:10,LAL,,MIN,,A. Davis,LAL,MISS Davis Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0955,3,07:10,LAL,58.0,MIN,67.0,A. Davis,LAL,Davis Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,3,06:50,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,3,06:33,LAL,60.0,MIN,67.0,A. Davis,LAL,Davis 4' Cutting Layup Shot (21 PTS) (Brown Jr. 1 AST),Made Shot,Cutting Layup Shot,31,21,4,1,2.0,2.0,h
S2223-G0955,3,06:33,LAL,61.0,MIN,67.0,A. Davis,LAL,Davis Free Throw 1 of 1 (22 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0955,3,04:33,LAL,,MIN,,A. Davis,LAL,Davis Violation:Defensive Goaltending (P.Fraher),Violation,Defensive Goaltending,0,0,0,0,,,h
S2223-G0955,3,04:19,LAL,66.0,MIN,73.0,A. Davis,LAL,Davis Free Throw 1 of 2 (23 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,3,04:19,LAL,67.0,MIN,73.0,A. Davis,LAL,Davis Free Throw 2 of 2 (24 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,3,03:18,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,3,03:18,LAL,71.0,MIN,79.0,A. Davis,LAL,Davis Putback Layup (26 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0955,3,03:18,LAL,72.0,MIN,79.0,A. Davis,LAL,Davis Free Throw 1 of 1 (27 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0955,3,02:48,LAL,,MIN,,A. Davis,LAL,Davis Lost Ball Turnover (P6.T9),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0955,3,02:25,LAL,73.0,MIN,81.0,A. Davis,LAL,Davis Free Throw 1 of 2 (28 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,3,02:25,LAL,74.0,MIN,81.0,A. Davis,LAL,Davis Free Throw 2 of 2 (29 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,3,02:13,LAL,,MIN,,A. Davis,LAL,SUB: Bamba FOR Davis,Substitution,,0,0,0,0,,,h
S2223-G0955,4,08:38,LAL,82.0,MIN,95.0,A. Davis,LAL,Davis Free Throw 1 of 2 (30 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0955,4,08:38,LAL,,MIN,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0955,4,07:10,LAL,87.0,MIN,97.0,A. Davis,LAL,Davis 26' 3PT Jump Shot (33 PTS) (Walker IV 1 AST),Made Shot,Jump Shot,-156,212,26,1,3.0,3.0,h
S2223-G0955,4,05:40,LAL,,MIN,,A. Davis,LAL,Davis STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0955,4,04:12,LAL,97.0,MIN,101.0,A. Davis,LAL,Davis 26' 3PT Jump Shot (36 PTS) (Schroder 11 AST),Made Shot,Jump Shot,82,244,26,1,3.0,3.0,h
S2223-G0955,4,02:54,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,4,02:32,LAL,,MIN,,A. Davis,LAL,MISS Davis 26' 3PT Jump Shot,Missed Shot,Jump Shot,-184,183,26,1,3.0,0.0,h
S2223-G0955,4,01:47,LAL,,MIN,,A. Davis,LAL,Davis BLOCK (2 BLK),,,0,0,0,0,,,h
S2223-G0955,4,01:45,LAL,,MIN,,A. Davis,LAL,Davis REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0955,4,01:34,LAL,102.0,MIN,105.0,A. Davis,LAL,Davis 5' Cutting Layup Shot (38 PTS) (Schroder 12 AST),Made Shot,Cutting Layup Shot,-27,44,5,1,2.0,2.0,h
S2223-G1186,1,09:51,UTA,,LAL,,A. Davis,LAL,Davis BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1186,1,08:09,UTA,,LAL,,A. Davis,LAL,MISS Davis 4' Floating Jump Shot,Missed Shot,Floating Jump shot,21,35,4,1,2.0,0.0,v
S2223-G1186,1,07:16,UTA,14.0,LAL,12.0,A. Davis,LAL,Davis 8' Turnaround Jump Shot (2 PTS),Made Shot,Turnaround Jump Shot,-82,21,8,1,2.0,2.0,v
S2223-G1186,1,06:43,UTA,14.0,LAL,13.0,A. Davis,LAL,Davis Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1186,1,06:43,UTA,14.0,LAL,14.0,A. Davis,LAL,Davis Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1186,1,06:24,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,1,06:20,UTA,14.0,LAL,15.0,A. Davis,LAL,Davis Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1186,1,06:20,UTA,14.0,LAL,16.0,A. Davis,LAL,Davis Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1186,1,05:42,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,1,05:40,UTA,14.0,LAL,18.0,A. Davis,LAL,Davis 6' Hook Shot (8 PTS),Made Shot,Hook Shot,1,57,6,1,2.0,2.0,v
S2223-G1186,1,05:08,UTA,16.0,LAL,20.0,A. Davis,LAL,Davis 3' Alley Oop Layup (10 PTS) (Reaves 1 AST),Made Shot,Alley Oop Layup shot,-28,9,3,1,2.0,2.0,v
S2223-G1186,1,04:15,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,1,03:53,UTA,,LAL,,A. Davis,LAL,Davis STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1186,1,03:37,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,1,03:37,UTA,,LAL,,A. Davis,LAL,MISS Davis Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G1186,1,03:37,UTA,,LAL,,A. Davis,LAL,MISS Davis Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G1186,1,02:35,UTA,,LAL,,A. Davis,LAL,Davis Violation:Defensive Goaltending (J.Goble),Violation,Defensive Goaltending,0,0,0,0,,,v
S2223-G1186,1,02:22,UTA,,LAL,,A. Davis,LAL,MISS Davis 4' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,-40,16,4,1,2.0,0.0,v
S2223-G1186,1,02:14,UTA,,LAL,,A. Davis,LAL,SUB: Reaves FOR Davis,Substitution,,0,0,0,0,,,v
S2223-G1186,2,06:54,UTA,,LAL,,A. Davis,LAL,MISS Davis 19' Jump Shot,Missed Shot,Jump Shot,-170,90,19,1,2.0,0.0,v
S2223-G1186,2,06:42,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,2,06:35,UTA,,LAL,,A. Davis,LAL,Davis OFF.Foul (P1) (C.Flores),Foul,Offensive,0,0,0,0,,,v
S2223-G1186,2,06:35,UTA,,LAL,,A. Davis,LAL,Davis Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G1186,2,06:21,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,2,05:36,UTA,48.0,LAL,53.0,A. Davis,LAL,Davis 5' Hook Shot (12 PTS),Made Shot,Hook Shot,6,50,5,1,2.0,2.0,v
S2223-G1186,2,05:06,UTA,,LAL,,A. Davis,LAL,Davis REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2223-G1186,2,01:15,UTA,55.0,LAL,64.0,A. Davis,LAL,Davis 2' Alley Oop Dunk (14 PTS) (James 1 AST),Made Shot,Alley Oop Dunk Shot,-16,13,2,1,2.0,2.0,v
S2223-G1186,2,00:28.800000,UTA,56.0,LAL,68.0,A. Davis,LAL,Davis 3' Running Dunk (16 PTS) (James 2 AST),Made Shot,Running Dunk Shot,27,16,3,1,2.0,2.0,v
