game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1220,1,02:33,NYK,,IND,,M. McBride,NYK,McBride S.FOUL (P1.PN) (D.Mosher),Foul,Shooting,0,0,0,0,,,h
S2223-G1220,1,02:23,NYK,,IND,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-210,137,25,1,3.0,0.0,h
S2223-G1220,1,00:01.400000,NYK,45.0,IND,38.0,M. McBride,NYK,McBride 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,4,-3,1,1,2.0,2.0,h
S2223-G1220,2,08:10,NYK,,IND,,M. McBride,NYK,MISS McBride 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-48,18,5,1,2.0,0.0,h
S2223-G1220,2,06:58,NYK,,IND,,M. McBride,NYK,McBride S.FOUL (P2.T3) (D.Mosher),Foul,Shooting,0,0,0,0,,,h
S2223-G1220,2,06:58,NYK,,IND,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1220,4,10:12,NYK,112.0,IND,107.0,M. McBride,NYK,McBride 3PT Jump Shot (5 PTS) (Hart 4 AST),Made Shot,Jump Shot,229,27,0,1,3.0,3.0,h
S2223-G1220,4,08:22,NYK,,IND,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0348,1,04:45,NYK,,CLE,,M. McBride,NYK,MISS McBride 27' 3PT Jump Shot,Missed Shot,Jump Shot,-126,236,27,1,3.0,0.0,h
S2223-G0348,1,02:33,NYK,,CLE,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-62,246,25,1,3.0,0.0,h
S2223-G0348,2,11:32,NYK,,CLE,,M. McBride,NYK,McBride OFF.Foul (P1) (D.Taylor),Foul,Offensive,0,0,0,0,,,h
S2223-G0348,2,11:32,NYK,,CLE,,M. McBride,NYK,McBride Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0348,2,09:35,NYK,,CLE,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0348,3,04:49,NYK,,CLE,,M. McBride,NYK,MISS McBride 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,77,240,25,1,3.0,0.0,h
S2223-G0348,3,02:02,NYK,,CLE,,M. McBride,NYK,McBride P.FOUL (P2.PN) (M.Dagher),Foul,Personal,0,0,0,0,,,h
S2223-G0348,3,01:19,NYK,,CLE,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-126,218,25,1,3.0,0.0,h
S2223-G0348,4,09:08,NYK,,CLE,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0309,4,03:54,DET,,NYK,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0309,4,03:50,DET,100.0,NYK,129.0,M. McBride,NYK,McBride 2' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,-9,21,2,1,2.0,2.0,v
S2223-G0309,4,02:33,DET,,NYK,,M. McBride,NYK,MISS McBride 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-115,238,26,1,3.0,0.0,v
S2223-G0485,2,11:22,NYK,,CHI,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-147,197,25,1,3.0,0.0,h
S2223-G0485,2,06:09,NYK,,CHI,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0485,4,10:52,NYK,96.0,CHI,89.0,M. McBride,NYK,McBride 11' Pullup Jump Shot (2 PTS) (Quickley 3 AST),Made Shot,Pullup Jump shot,33,104,11,1,2.0,2.0,h
S2223-G0485,4,08:43,NYK,,CHI,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,227,13,0,1,3.0,0.0,h
S2223-G0485,4,08:31,NYK,,CHI,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0240,3,00:16.100000,PHX,90.0,NYK,75.0,M. McBride,NYK,McBride 20' Pullup Jump Shot (2 PTS) (Sims 1 AST),Made Shot,Pullup Jump shot,-42,193,20,1,2.0,2.0,v
S2223-G0240,4,10:49,PHX,93.0,NYK,78.0,M. McBride,NYK,McBride 19' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,5,193,19,1,2.0,2.0,v
S2223-G0240,4,10:36,PHX,,NYK,,M. McBride,NYK,McBride P.FOUL (P1.T1) (K.Lane),Foul,Personal,0,0,0,0,,,v
S2223-G0240,4,10:22,PHX,,NYK,,M. McBride,NYK,McBride L.B.FOUL (P2.T2) (N.Green),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0240,4,07:33,PHX,,NYK,,M. McBride,NYK,MISS McBride 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-17,185,19,1,2.0,0.0,v
S2223-G0240,4,04:36,PHX,105.0,NYK,87.0,M. McBride,NYK,McBride 27' 3PT Jump Shot (7 PTS) (Quickley 2 AST),Made Shot,Jump Shot,-151,222,27,1,3.0,3.0,v
S2223-G0240,4,04:02,PHX,105.0,NYK,89.0,M. McBride,NYK,McBride 1' Cutting Layup Shot (9 PTS) (Hartenstein 1 AST),Made Shot,Cutting Layup Shot,2,11,1,1,2.0,2.0,v
S2223-G0240,4,03:50,PHX,,NYK,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0240,4,00:00.300000,PHX,,NYK,,M. McBride,NYK,MISS McBride 30' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-183,236,30,1,3.0,0.0,v
S2223-G0493,2,08:03,NYK,,PHI,,M. McBride,NYK,MISS McBride 21' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-131,159,21,1,2.0,0.0,h
S2223-G0493,2,07:48,NYK,,PHI,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0493,4,10:37,NYK,,PHI,,M. McBride,NYK,SUB: Randle FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0997,4,11:32,SAC,,NYK,,M. McBride,NYK,McBride S.FOUL (P1.T1) (J.Orr),Foul,Shooting,0,0,0,0,,,v
S2223-G0997,4,10:29,SAC,,NYK,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0997,4,08:46,SAC,,NYK,,M. McBride,NYK,MISS McBride 27' 3PT Jump Shot,Missed Shot,Jump Shot,178,199,27,1,3.0,0.0,v
S2223-G0997,4,08:33,SAC,,NYK,,M. McBride,NYK,McBride REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0997,4,07:41,SAC,,NYK,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G1168,1,02:33,NYK,28.0,WAS,24.0,M. McBride,NYK,McBride Running Finger Roll Layup (2 PTS) (Brunson 4 AST),Made Shot,Running Finger Roll Layup Shot,-2,-1,0,1,2.0,2.0,h
S2223-G1168,1,00:05.400000,NYK,,WAS,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,-227,-22,0,1,3.0,0.0,h
S2223-G1168,2,08:22,NYK,,WAS,,M. McBride,NYK,MISS McBride 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,123,22,12,1,2.0,0.0,h
S2223-G1168,2,07:19,NYK,,WAS,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1168,4,00:59,NYK,,WAS,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,-233,-5,0,1,3.0,0.0,h
S2223-G0684,1,00:06.400000,ATL,,NYK,,M. McBride,NYK,McBride Personal Take Foul (P1.T3) (S.Mehta),Foul,Personal Take,0,0,0,0,,,v
S2223-G0684,2,09:14,ATL,,NYK,,M. McBride,NYK,McBride S.FOUL (P2.T1) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2223-G0684,2,08:37,ATL,45.0,NYK,49.0,M. McBride,NYK,McBride 24' 3PT Jump Shot (3 PTS) (Brunson 2 AST),Made Shot,Jump Shot,115,216,24,1,3.0,3.0,v
S2223-G0684,2,05:39,ATL,,NYK,,M. McBride,NYK,MISS McBride 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-98,72,12,1,2.0,0.0,v
S2223-G0684,2,05:12,ATL,,NYK,,M. McBride,NYK,SUB: Sims FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0684,3,00:01.700000,ATL,,NYK,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0684,4,09:36,ATL,,NYK,,M. McBride,NYK,MISS McBride 26' 3PT Jump Shot,Missed Shot,Jump Shot,-28,258,26,1,3.0,0.0,v
S2223-G0684,4,09:24,ATL,,NYK,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0684,4,02:17,ATL,131.0,NYK,117.0,M. McBride,NYK,McBride 27' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,-141,232,27,1,3.0,3.0,v
S2223-G0684,4,00:32.700000,ATL,136.0,NYK,124.0,M. McBride,NYK,McBride 15' Pullup Jump Shot (8 PTS),Made Shot,Pullup Jump shot,51,143,15,1,2.0,2.0,v
S2223-G0780,2,08:48,NYK,,MIA,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0780,3,02:22,NYK,,MIA,,M. McBride,NYK,McBride Out of Bounds Lost Ball Turnover (P1.T12),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,h
S2223-G0780,3,01:04,NYK,74.0,MIA,69.0,M. McBride,NYK,McBride 3PT Jump Shot (3 PTS) (Randle 4 AST),Made Shot,Jump Shot,-229,14,0,1,3.0,3.0,h
S2223-G0780,4,10:07,NYK,84.0,MIA,77.0,M. McBride,NYK,McBride 3PT Jump Shot (6 PTS) (Barrett 4 AST),Made Shot,Jump Shot,-227,29,0,1,3.0,3.0,h
S2223-G0780,4,07:23,NYK,92.0,MIA,81.0,M. McBride,NYK,McBride 2' Cutting Layup Shot (8 PTS) (Hartenstein 1 AST),Made Shot,Cutting Layup Shot,12,13,2,1,2.0,2.0,h
S2223-G0780,4,07:12,NYK,,MIA,,M. McBride,NYK,SUB: Grimes FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0446,2,09:58,IND,,NYK,,M. McBride,NYK,McBride REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0446,2,09:00,IND,,NYK,,M. McBride,NYK,MISS McBride 24' 3PT Jump Shot,Missed Shot,Jump Shot,237,0,24,1,3.0,0.0,v
S2223-G0446,2,08:13,IND,,NYK,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-167,190,25,1,3.0,0.0,v
S2223-G0446,2,07:48,IND,,NYK,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0446,4,10:49,IND,87.0,NYK,87.0,M. McBride,NYK,McBride 3PT Jump Shot (3 PTS) (Hartenstein 1 AST),Made Shot,Jump Shot,-224,-26,0,1,3.0,3.0,v
S2223-G0446,4,09:56,IND,,NYK,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0446,4,08:21,IND,,NYK,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,212,141,25,1,3.0,0.0,v
S2223-G0446,4,06:55,IND,,NYK,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G1190,1,03:26,IND,,NYK,,M. McBride,NYK,MISS McBride 19' Jump Shot,Missed Shot,Jump Shot,179,69,19,1,2.0,0.0,v
S2223-G1190,1,00:02.300000,IND,,NYK,,M. McBride,NYK,MISS McBride 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-69,243,25,1,3.0,0.0,v
S2223-G1190,2,10:57,IND,,NYK,,M. McBride,NYK,MISS McBride 3PT Running Jump Shot,Missed Shot,Running Jump Shot,233,27,0,1,3.0,0.0,v
S2223-G1190,2,09:23,IND,,NYK,,M. McBride,NYK,McBride L.B.FOUL (P1.T2) (T.Brothers),Foul,Loose Ball,0,0,0,0,,,v
S2223-G1190,2,08:46,IND,,NYK,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,-232,5,0,1,3.0,0.0,v
S2223-G1190,2,07:43,IND,,NYK,,M. McBride,NYK,MISS McBride 1' Driving Dunk,Missed Shot,Driving Dunk Shot,-2,8,1,1,2.0,0.0,v
S2223-G1190,2,07:28,IND,,NYK,,M. McBride,NYK,SUB: Grimes FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G1190,3,00:53.700000,IND,91.0,NYK,103.0,M. McBride,NYK,McBride 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,-10,12,2,1,2.0,2.0,v
S2223-G1190,3,00:36.900000,IND,,NYK,,M. McBride,NYK,McBride S.FOUL (P2.PN) (T.Brothers),Foul,Shooting,0,0,0,0,,,v
S2223-G1190,3,00:02.700000,IND,,NYK,,M. McBride,NYK,McBride Bad Pass Turnover (P1.T14),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1190,4,10:45,IND,,NYK,,M. McBride,NYK,MISS McBride Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G1190,4,10:45,IND,102.0,NYK,106.0,M. McBride,NYK,McBride Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1190,4,10:36,IND,,NYK,,M. McBride,NYK,McBride S.FOUL (P3.T1) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2223-G1190,4,09:59,IND,,NYK,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0979,1,01:05,NYK,21.0,CHA,18.0,M. McBride,NYK,McBride 25' 3PT Jump Shot (3 PTS) (Grimes 1 AST),Made Shot,Jump Shot,159,191,25,1,3.0,3.0,h
S2223-G0979,2,11:44,NYK,,CHA,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0979,2,10:46,NYK,,CHA,,M. McBride,NYK,McBride STEAL (2 STL),,,0,0,0,0,,,h
S2223-G0979,2,09:29,NYK,31.0,CHA,25.0,M. McBride,NYK,McBride 13' Pullup Jump Shot (5 PTS) (Hartenstein 1 AST),Made Shot,Pullup Jump shot,-5,132,13,1,2.0,2.0,h
S2223-G0979,2,07:04,NYK,,CHA,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0979,3,00:07.500000,NYK,,CHA,,M. McBride,NYK,MISS McBride 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,50,247,25,1,3.0,0.0,h
S2223-G0979,3,00:01,NYK,,CHA,,M. McBride,NYK,McBride BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0979,4,11:37,NYK,,CHA,,M. McBride,NYK,McBride BLOCK (2 BLK),,,0,0,0,0,,,h
S2223-G0979,4,11:00,NYK,,CHA,,M. McBride,NYK,MISS McBride 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,87,157,18,1,2.0,0.0,h
S2223-G0979,4,10:18,NYK,93.0,CHA,87.0,M. McBride,NYK,McBride 4' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,29,27,4,1,2.0,2.0,h
S2223-G0979,4,08:30,NYK,,CHA,,M. McBride,NYK,SUB: Robinson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0742,2,11:25,BKN,,NYK,,M. McBride,NYK,MISS McBride 4' Driving Layup,Missed Shot,Driving Layup Shot,26,30,4,1,2.0,0.0,v
S2223-G0742,2,10:31,BKN,,NYK,,M. McBride,NYK,McBride P.FOUL (P1.T2) (J.Van Duyne),Foul,Personal,0,0,0,0,,,v
S2223-G0742,2,10:23,BKN,,NYK,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0742,2,08:14,BKN,,NYK,,M. McBride,NYK,MISS McBride 3' Driving Dunk,Missed Shot,Driving Dunk Shot,28,4,3,1,2.0,0.0,v
S2223-G0742,2,06:58,BKN,,NYK,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0742,4,11:10,BKN,,NYK,,M. McBride,NYK,MISS McBride 21' Jump Shot,Missed Shot,Jump Shot,-141,155,21,1,2.0,0.0,v
S2223-G0742,4,09:08,BKN,96.0,NYK,88.0,M. McBride,NYK,McBride 8' Driving Hook Shot (2 PTS) (Quickley 3 AST),Made Shot,Driving Hook Shot,-28,73,8,1,2.0,2.0,v
S2223-G0742,4,07:37,BKN,,NYK,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,-230,2,0,1,3.0,0.0,v
S2223-G0742,4,07:16,BKN,,NYK,,M. McBride,NYK,SUB: Randle FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0607,1,01:03,NYK,,MIL,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,-229,-11,0,1,3.0,0.0,h
S2223-G0607,2,06:26,NYK,,MIL,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0607,2,06:22,NYK,40.0,MIL,36.0,M. McBride,NYK,McBride 3PT Jump Shot (3 PTS) (Fournier 1 AST),Made Shot,Jump Shot,-227,-2,0,1,3.0,3.0,h
S2223-G0607,2,05:13,NYK,,MIL,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0607,4,10:28,NYK,,MIL,,M. McBride,NYK,MISS McBride 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-164,186,25,1,3.0,0.0,h
S2223-G0607,4,09:26,NYK,,MIL,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0715,1,03:28,NYK,,CLE,,M. McBride,NYK,MISS McBride Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0715,1,03:28,NYK,25.0,CLE,21.0,M. McBride,NYK,McBride Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0715,1,00:57.800000,NYK,,CLE,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0715,1,00:06.100000,NYK,,CLE,,M. McBride,NYK,McBride P.FOUL (P1.T2) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2223-G0715,2,10:49,NYK,,CLE,,M. McBride,NYK,MISS McBride 24' 3PT Jump Shot,Missed Shot,Jump Shot,-230,71,24,1,3.0,0.0,h
S2223-G0715,2,09:57,NYK,,CLE,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0715,4,10:14,NYK,,CLE,,M. McBride,NYK,McBride P.FOUL (P2.T1) (B.Kennedy),Foul,Personal,0,0,0,0,,,h
S2223-G0715,4,10:06,NYK,,CLE,,M. McBride,NYK,McBride S.FOUL (P3.T2) (S.Wall),Foul,Shooting,0,0,0,0,,,h
S2223-G0715,4,08:09,NYK,93.0,CLE,82.0,M. McBride,NYK,McBride 1' Cutting Layup Shot (3 PTS) (Hartenstein 4 AST),Made Shot,Cutting Layup Shot,4,-4,1,1,2.0,2.0,h
S2223-G0715,4,08:09,NYK,,CLE,,M. McBride,NYK,MISS McBride Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2223-G0715,4,07:12,NYK,,CLE,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1124,1,00:55.700000,NYK,33.0,HOU,31.0,M. McBride,NYK,McBride 2' Cutting Layup Shot (2 PTS) (Hartenstein 3 AST),Made Shot,Cutting Layup Shot,-17,-3,2,1,2.0,2.0,h
S2223-G1124,1,00:04.800000,NYK,,HOU,,M. McBride,NYK,McBride P.FOUL (P1.T4) (D.Richardson),Foul,Personal,0,0,0,0,,,h
S2223-G1124,2,11:41,NYK,,HOU,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1124,2,11:39,NYK,,HOU,,M. McBride,NYK,McBride Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G1124,2,07:48,NYK,,HOU,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1124,2,07:09,NYK,,HOU,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,227,-8,0,1,3.0,0.0,h
S2223-G1124,2,06:55,NYK,,HOU,,M. McBride,NYK,SUB: Robinson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1124,4,11:30,NYK,,HOU,,M. McBride,NYK,McBride REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1124,4,11:22,NYK,,HOU,,M. McBride,NYK,MISS McBride 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,74,106,13,1,2.0,0.0,h
S2223-G1124,4,08:38,NYK,,HOU,,M. McBride,NYK,McBride BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1124,4,08:00,NYK,,HOU,,M. McBride,NYK,McBride S.FOUL (P2.T3) (M.Davis),Foul,Shooting,0,0,0,0,,,h
S2223-G1124,4,06:58,NYK,,HOU,,M. McBride,NYK,McBride STEAL (2 STL),,,0,0,0,0,,,h
S2223-G1124,4,06:55,NYK,121.0,HOU,95.0,M. McBride,NYK,McBride Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G1124,4,06:55,NYK,,HOU,,M. McBride,NYK,MISS McBride Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G1124,4,06:31,NYK,,HOU,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1124,4,04:09,NYK,,HOU,,M. McBride,NYK,McBride Personal Take Foul (P3.T4) (D.Richardson),Foul,Personal Take,0,0,0,0,,,h
S2223-G1124,4,01:53,NYK,,HOU,,M. McBride,NYK,MISS McBride 26' 3PT Jump Shot,Missed Shot,Jump Shot,206,152,26,1,3.0,0.0,h
S2223-G1124,4,00:56,NYK,,HOU,,M. McBride,NYK,McBride Bad Pass Turnover (P2.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0365,1,00:09.100000,NYK,,ATL,,M. McBride,NYK,MISS McBride 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,16,7,2,1,2.0,0.0,h
S2223-G0365,2,09:32,NYK,,ATL,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0365,3,06:34,NYK,,ATL,,M. McBride,NYK,McBride P.FOUL (P1.T4) (A.Nagy),Foul,Personal,0,0,0,0,,,h
S2223-G0365,3,04:46,NYK,,ATL,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-200,147,25,1,3.0,0.0,h
S2223-G0365,3,03:53,NYK,,ATL,,M. McBride,NYK,McBride REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0365,3,03:50,NYK,,ATL,,M. McBride,NYK,McBride Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0365,4,08:58,NYK,95.0,ATL,69.0,M. McBride,NYK,McBride 3PT Jump Shot (3 PTS) (Grimes 2 AST),Made Shot,Jump Shot,228,24,0,1,3.0,3.0,h
S2223-G0365,4,06:43,NYK,,ATL,,M. McBride,NYK,MISS McBride 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-83,27,9,1,2.0,0.0,h
S2223-G0365,4,06:13,NYK,,ATL,,M. McBride,NYK,McBride REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0365,4,03:38,NYK,,ATL,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0164,4,05:51,BKN,,NYK,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,225,38,0,1,3.0,0.0,v
S2223-G0164,4,01:30,BKN,,NYK,,M. McBride,NYK,MISS McBride 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-186,181,26,1,3.0,0.0,v
S2223-G0471,1,02:03,NYK,,TOR,,M. McBride,NYK,MISS McBride 3PT Jump Shot,Missed Shot,Jump Shot,230,23,0,1,3.0,0.0,h
S2223-G0471,1,01:07,NYK,,TOR,,M. McBride,NYK,McBride STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0471,2,11:03,NYK,,TOR,,M. McBride,NYK,McBride REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0471,2,10:56,NYK,29.0,TOR,30.0,M. McBride,NYK,McBride 23' Running Pull-Up Jump Shot (2 PTS),Made Shot,Running Pull-Up Jump Shot,-64,216,23,1,2.0,2.0,h
S2223-G0471,2,09:21,NYK,,TOR,,M. McBride,NYK,MISS McBride 25' 3PT Jump Shot,Missed Shot,Jump Shot,-213,134,25,1,3.0,0.0,h
S2223-G0471,2,06:30,NYK,,TOR,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0471,3,00:23.200000,NYK,,TOR,,M. McBride,NYK,McBride Out of Bounds - Bad Pass Turnover Turnover (P1.T13),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0471,3,00:04.800000,NYK,,TOR,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G0471,4,11:03,NYK,83.0,TOR,87.0,M. McBride,NYK,McBride 25' 3PT Jump Shot (5 PTS) (Barrett 3 AST),Made Shot,Jump Shot,-118,215,25,1,3.0,3.0,h
S2223-G0471,4,08:09,NYK,,TOR,,M. McBride,NYK,SUB: Quickley FOR McBride,Substitution,,0,0,0,0,,,h
S2223-G1154,2,07:24,CLE,,NYK,,M. McBride,NYK,SUB: Robinson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G1154,4,08:39,CLE,104.0,NYK,115.0,M. McBride,NYK,McBride 1' Cutting Dunk Shot (2 PTS) (Hartenstein 4 AST),Made Shot,Cutting Dunk Shot,4,-3,1,1,2.0,2.0,v
S2223-G1154,4,07:07,CLE,,NYK,,M. McBride,NYK,SUB: Brunson FOR McBride,Substitution,,0,0,0,0,,,v
S2223-G0568,1,01:05,NYK,36.0,SAS,24.0,M. McBride,NYK,McBride 25' 3PT Jump Shot (3 PTS) (Randle 2 AST),Made Shot,Jump Shot,123,217,25,1,3.0,3.0,h
S2223-G0568,1,00:31,NYK,,SAS,,M. McBride,NYK,McBride S.FOUL (P1.PN) (S.Wall),Foul,Shooting,0,0,0,0,,,h
